idx,direction,label,fvg_present,fvg_size_atr,fvg_distance,fvg_mitigated,ob_present,ob_size_atr,ob_distance,ob_vol_ratio,bos_count,choch_count,swing_count,trend_align,nearby_liq_count,body_ratio,vol_ratio,upper_wick_atr,lower_wick_atr,candle_align,dist_to_high_atr,dist_to_low_atr,atr_val
318,1,0,1,0.3702346304480544,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.9763168639862554,0.6700497311287567,0.017103230210923213,0.012072868384183246,1,17.01972620459202,8.182386547375227,198.79285714285703
339,1,0,1,0.21254921934687654,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.6256704980603303,1.0046320067442465,0.214469018747421,0.053480126158246356,1,1.9241875134679778,2.3539483221345128,364.62142857142834
352,1,0,1,0.15257608369888007,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.7906902086423627,0.7552742544568394,0.1357927144919977,0.1129063019371657,1,2.8546985260060516,3.0953872980410293,262.16428571428594
353,1,0,1,0.5475924766596968,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.6780045351217777,1.0051058899229897,0.31361768148287605,0.01105092680802971,1,2.1682680530226723,3.775987370369366,262.4214285714287
354,1,0,1,0.11108207625609226,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.4631531933830108,3.2341334996321374,1.1989547452191471,0.00033258106663015255,1,0.5933246228768311,4.330205487587599,300.67857142857144
363,1,0,1,0.08246391931837507,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.8826634185593676,0.7033789673111766,0.06846635367762136,0.01947487393497228,1,1.3891062423926288,3.6697965571205047,328.6285714285711
368,1,0,1,0.47198621231820687,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.7494371180202959,0.8870782726075894,0.034711093641326664,0.295044295951369,1,1.5006198409578864,5.536842741813584,236.23571428571344
375,1,0,1,0.15116019135331932,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.7005334010579022,3.698102917126674,0.25443734072518454,0.483524835695444,1,0.3890105959672822,4.813967004962658,319.5285714285715
402,1,0,1,0.3038500480282404,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.688125894114789,1.056080768999234,0.02180741971494586,0.3743607051065706,1,3.5364365637737203,2.057166593109893,275.1357142857144
413,1,0,1,0.2823321091290649,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.6561712845934097,0.49954836125230634,0.10007869884576319,0.15057712486884797,1,3.7277019937040765,3.337486883525694,217.82857142857236
414,1,0,1,0.027312314927705774,0.0,1,0,0.0,99.0,1.0,2,0,6,1,26,0.2581168830959618,0.7368856579806013,0.3623758927015977,0.08340010451140185,1,3.8047030134122806,3.7013063926145247,205.03571428571482
438,1,0,1,0.05739252386860861,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.7770003042051528,0.6237405353129565,0.13014006508800524,0.0543718647176186,1,3.7063487782512547,1.985831670172791,397.264285714286
449,1,0,1,0.14593745537626318,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.8465851172186892,3.0169796920987206,0.11966300157075957,0.31015279166071275,1,4.835641867770969,2.6477224046837033,350.1499999999999
450,1,0,1,0.7453834417691068,0.0,1,0,0.0,99.0,1.0,2,0,6,0,26,0.5778137324241304,2.6455618976908646,0.46500534871894134,0.5600196411974078,1,2.753941392069876,3.7087491012398455,407.30714285714305
452,1,0,1,0.6867113660230987,0.08,1,0,0.0,99.0,1.0,2,1,6,1,26,0.2744039586103697,1.4918345327735252,0.8559011228693768,0.23862993779788294,0,2.9329994345262165,3.0209871556668446,442.1071428571439
476,1,0,1,0.2628755364806865,0.0,1,0,0.0,99.0,1.0,2,1,6,0,26,0.4812554489764089,1.3880969904455562,0.6527506827935908,0.15977370269216745,1,3.06028092079592,9.892313694888815,146.45714285714297
530,1,0,1,0.10222673472510056,0.0,1,0,0.0,99.0,1.0,2,1,6,0,26,0.8863723608105095,0.3831993571415226,0.009930597087578364,0.04770580953838026,1,3.5477544889358708,1.2790998483984515,513.5642857142853
543,1,1,1,0.05925516302614395,0.0,1,1,1.0740347241423338,0.04,1.9059141540930666,2,1,6,0,26,0.6022184779471792,1.9397138891915118,0.8391007507922554,0.004466469574834644,1,7.990514069379178,1.9426165004147522,335.83571428571355
550,1,1,1,0.3984288519907201,0.0,1,1,0.9015870491876462,0.32,1.9059141540930666,2,1,6,0,26,0.6830393486924666,0.46100514263774073,0.22545973933225513,0.06648812712015356,1,5.878200321371184,2.3078378860917796,400.07142857142804
551,1,1,1,0.5669005031769948,0.0,1,1,0.927349517482648,0.36,1.9059141540930666,2,1,6,0,26,0.9703243616064009,0.9015240584445245,0.020567818709369422,0.012597788959473808,1,4.9619862636353735,3.4579645205127343,388.95714285714195
574,1,1,1,0.14947168729182297,0.0,1,1,1.1139322485827112,1.28,1.9059141540930666,2,1,6,1,26,0.5622918054255787,0.3792403160437295,0.07844175324819022,0.12445679747643867,1,2.1250303311053735,4.099662497518368,323.80714285714254
575,1,1,1,0.3271070030168732,0.0,1,1,1.080469234760469,1.32,1.9059141540930666,2,1,6,0,26,0.6155913978310659,0.9307071829301368,0.2773819457817323,0.10813702205960588,1,1.4435244025076546,4.5941759205768395,333.83571428571406
582,1,1,1,0.06486549097964274,0.0,1,1,1.4623082450120193,1.6,1.9059141540930666,2,1,6,0,26,0.8836956521258782,0.6592500693168494,0.0863521848666612,0.00040540931861686767,1,2.159210030984852,6.012220195175637,246.6642857142854
602,1,1,1,0.4374466007567512,0.0,1,1,1.5408852259550885,2.4,1.9059141540930666,2,1,6,0,26,0.6279141104101778,1.4748333519752244,0.4998169168802652,0.018369339680227307,1,1.8266813133162452,2.732759672891489,234.08571428571355
673,1,1,1,0.17330839939947895,0.0,1,1,1.362499012300159,0.12,0.818161853743318,3,1,6,0,26,0.5330005546164036,1.3002243844081727,0.6132167408538849,0.007743566781673481,1,2.5505834013748743,2.891669081044088,271.19285714285644
758,1,0,1,0.8329563108119289,0.0,1,1,1.4098825325011617,3.52,0.818161853743318,3,1,6,0,26,0.8997903563752756,1.7410385552190462,0.043879970564988796,0.13850808100077405,1,4.77986427189229,2.9323267286255557,262.0785714285708
843,1,1,1,0.5467403441463686,0.0,1,1,2.7765880443496456,0.2,2.8689001065397006,4,1,6,0,26,0.9292791253526133,0.9693729561072297,0.05611704412059443,0.026856013971987096,1,2.4086237008618054,2.12964182437657,249.47857142857123
846,1,1,1,0.029229184644935038,0.0,1,1,2.6996044490994664,0.32,2.8689001065397006,4,1,6,0,26,0.26126714563937103,0.7859081764664649,0.11029145672689955,0.33048464771871516,1,1.7794727611836678,2.459148734793868,256.5928571428568
863,1,1,1,0.21600041211622276,0.0,1,1,2.4978850871883456,1.0,2.8689001065397006,4,1,6,0,26,0.7796173656813944,0.6154913922219669,0.07248093962496924,0.14351947249125352,1,3.198897589120137,1.861425922110057,277.3142857142848
908,1,0,1,1.4584152099017405,0.0,1,1,2.474872798902646,2.8,2.8689001065397006,4,1,6,1,26,0.7849446046321957,3.8903769128243306,0.5059078729105483,0.00035727957125931606,1,-1.4476968227638312,6.438892433329108,279.8928571428566
912,1,0,1,0.3372298972724058,0.0,1,1,2.2901851605856693,2.96,2.8689001065397006,4,1,6,1,26,0.7454873646041098,2.2529047552135193,0.30846617074035726,0.0644704215373717,1,-0.8883693470303379,7.754634549533606,302.4642857142852
920,1,0,1,0.2088854247856529,0.0,1,1,2.699529301441932,3.28,2.8689001065397006,4,1,6,1,26,0.8359811077356636,0.6616124420790891,0.1321122369446666,0.016757599376472754,1,0.3881527669524494,8.045596258768509,256.6000000000001
925,1,1,1,0.10213395037921259,0.0,1,1,3.1166567240326386,3.48,2.8689001065397006,4,1,6,1,26,0.8810520023645546,1.2398150701230959,0.12193083943954232,0.057141020696767054,1,-0.39323820542483395,10.531495050777677,222.2571428571438
937,1,1,1,0.1057504087695554,0.0,1,1,2.2333300468645634,3.96,2.8689001065397006,4,1,6,1,26,0.85063085059624,0.45466501410530974,0.07447665983464509,0.043847730465416825,1,0.4065587361536463,8.738917163715076,310.16428571428594
